"Country/Area","Year","Unit","GDP, Per Capita GDP - US Dollars"
"Afghanistan","2019","US$","500.5226641505073"
"Afghanistan","2020","US$","516.8665429630809"
"Afghanistan","2021","US$","372.5488747800418"
"Africa","2019","US$","1939.1287171374204"
"Africa","2020","US$","1798.5674643340233"
"Africa","2021","US$","1959.0437042754056"
"Albania","2019","US$","5359.239078357407"
"Albania","2020","US$","5278.2222819374565"
"Albania","2021","US$","6396.46181225342"
"Algeria","2019","US$","4021.9832548197305"
"Algeria","2020","US$","3354.1531637159264"
"Algeria","2021","US$","3700.324057834338"
"Americas","2019","US$","28143.75545891203"
"Americas","2020","US$","26683.70612067272"
"Americas","2021","US$","29722.973670723983"
"Andorra","2019","US$","41328.6340793287"
"Andorra","2020","US$","37207.17563596214"
"Andorra","2021","US$","42066.04156968585"
"Angola","2019","US$","2569.629791262053"
"Angola","2020","US$","1639.951036123024"
"Angola","2021","US$","2044.2182115246992"
"Anguilla","2019","US$","24494.774358233393"
"Anguilla","2020","US$","16582.659014484485"
"Anguilla","2021","US$","19216.327989260128"
"Antigua and Barbuda","2019","US$","18319.456054076156"
"Antigua and Barbuda","2020","US$","14788.395189629757"
"Antigua and Barbuda","2021","US$","15245.818985399972"
"Argentina","2019","US$","10006.693110619826"
"Argentina","2020","US$","8560.709940339004"
"Argentina","2021","US$","10761.081626964278"
"Armenia","2019","US$","4828.504888606453"
"Armenia","2020","US$","4505.867745526379"
"Armenia","2021","US$","4966.516675678819"
"Aruba","2019","US$","31650.76053693679"
"Aruba","2020","US$","24487.86355894514"
"Aruba","2021","US$","29342.100855878063"
"Asia","2019","US$","7159.714102304125"
"Asia","2020","US$","7033.306362379864"
"Asia","2021","US$","7988.95181589519"
"Australia","2019","US$","54267.088198817204"
"Australia","2020","US$","55774.158289013176"
"Australia","2021","US$","66915.8592008469"
"Australia and New Zealand","2019","US$","52430.520398278946"
"Australia and New Zealand","2020","US$","53494.172228124306"
"Australia and New Zealand","2021","US$","63926.92571905377"
"Austria","2019","US$","50070.29057634942"
"Austria","2020","US$","48859.01813667282"
"Austria","2021","US$","53840.393295350164"
"Azerbaijan","2019","US$","4707.846978630057"
"Azerbaijan","2020","US$","4151.016373340039"
"Azerbaijan","2021","US$","5296.443211687571"
"Bahamas","2019","US$","32610.485049078376"
"Bahamas","2020","US$","23862.73559491329"
"Bahamas","2021","US$","27478.389628983146"
"Bahrain","2019","US$","25869.206182092556"
"Bahrain","2020","US$","23501.915142605216"
"Bahrain","2021","US$","26562.974042819285"
"Bangladesh","2019","US$","2111.4167932545015"
"Bangladesh","2020","US$","2231.271633685075"
"Bangladesh","2021","US$","2449.906516762977"
"Barbados","2019","US$","19002.96238132629"
"Barbados","2020","US$","16643.806578717675"
"Barbados","2021","US$","17225.462304409673"
"Belarus","2019","US$","6658.089989376561"
"Belarus","2020","US$","6370.492500924133"
"Belarus","2021","US$","7121.0046888245615"
"Belgium","2019","US$","46551.210743474796"
"Belgium","2020","US$","45426.8004183642"
"Belgium","2021","US$","51165.51022226701"
"Belize","2019","US$","6210.952944653619"
"Belize","2020","US$","5267.280891621363"
"Belize","2021","US$","6228.700853183878"
"Benin","2019","US$","1170.9655329875757"
"Benin","2020","US$","1240.733155370072"
"Benin","2021","US$","1360.911474217921"
"Bermuda","2019","US$","116333.38557011221"
"Bermuda","2020","US$","107473.87983945277"
"Bermuda","2021","US$","112652.64635039339"
"Bhutan","2019","US$","3303.9797362272525"
"Bhutan","2020","US$","2997.3066074334"
"Bhutan","2021","US$","3062.9149753761885"
"Bolivia (Plurinational State of)","2019","US$","3472.3808307623167"
"Bolivia (Plurinational State of)","2020","US$","3068.8125550796917"
"Bolivia (Plurinational State of)","2021","US$","3345.1965887432802"
"Bosnia and Herzegovina","2019","US$","6011.417260885564"
"Bosnia and Herzegovina","2020","US$","6012.166079699617"
"Bosnia and Herzegovina","2021","US$","7143.283962600179"
"Botswana","2019","US$","6679.186866781301"
"Botswana","2020","US$","5863.182049779305"
"Botswana","2021","US$","6805.247712627015"
"Brazil","2019","US$","8883.903092241835"
"Brazil","2020","US$","6794.5158525142815"
"Brazil","2021","US$","7507.160245564557"
"British Virgin Islands","2019","US$","47005.64818686704"
"British Virgin Islands","2020","US$","48272.96357165966"
"British Virgin Islands","2021","US$","49443.86887089519"
"Brunei Darussalam","2019","US$","30748.34227851489"
"Brunei Darussalam","2020","US$","27179.282398638108"
"Brunei Darussalam","2021","US$","31448.91360813847"
"Bulgaria","2019","US$","9771.556105025724"
"Bulgaria","2020","US$","10064.072068500305"
"Bulgaria","2021","US$","12207.257714981306"
"Burkina Faso","2019","US$","772.1668775474628"
"Burkina Faso","2020","US$","833.244336102605"
"Burkina Faso","2021","US$","893.0771959864603"
"Burundi","2019","US$","283.66986998721563"
"Burundi","2020","US$","295.8319643958672"
"Burundi","2021","US$","310.70684427427705"
"Cabo Verde","2019","US$","3434.5634909781747"
"Cabo Verde","2020","US$","2924.1005147872356"
"Cabo Verde","2021","US$","3293.2333221717654"
"Cambodia","2019","US$","1671.9143932777674"
"Cambodia","2020","US$","1542.4447918646365"
"Cambodia","2021","US$","1607.6589285354175"
"Cameroon","2019","US$","1538.6879120214817"
"Cameroon","2020","US$","1540.3086104480494"
"Cameroon","2021","US$","1668.012410181408"
"Canada","2019","US$","46411.963246769046"
"Canada","2020","US$","43427.80803852661"
"Canada","2021","US$","52112.06149581127"
"Caribbean","2019","US$","9211.707225288419"
"Caribbean","2020","US$","8736.298190515998"
"Caribbean","2021","US$","9801.98057874532"
"Cayman Islands","2019","US$","89868.68318114697"
"Cayman Islands","2020","US$","83326.45890194917"
"Cayman Islands","2021","US$","85250.26525255802"
"Central African Republic","2019","US$","426.4002934412591"
"Central African Republic","2020","US$","435.2092008354527"
"Central African Republic","2021","US$","461.36101321537"
"Central America","2019","US$","8836.153350342587"
"Central America","2020","US$","7640.380647258233"
"Central America","2021","US$","8783.212940918816"
"Central Asia","2019","US$","4142.54934781676"
"Central Asia","2020","US$","3921.42643467208"
"Central Asia","2021","US$","4396.6968616117"
"Chad","2019","US$","948.6902070610466"
"Chad","2020","US$","895.7539663736828"
"Chad","2021","US$","955.1696725682955"
"Chile","2019","US$","14631.946408269405"
"Chile","2020","US$","13094.459430548344"
"Chile","2021","US$","16265.096434070081"
"China (mainland)","2019","US$","10043.13017714862"
"China (mainland)","2020","US$","10307.696388141958"
"China (mainland)","2021","US$","12437.206097525663"
"China, Hong Kong SAR","2019","US$","48431.9381390739"
"China, Hong Kong SAR","2020","US$","45984.78870817856"
"China, Hong Kong SAR","2021","US$","49258.81434660794"
"China, Macao Special Administrative Region","2019","US$","83183.47238630458"
"China, Macao Special Administrative Region","2020","US$","37833.618534921305"
"China, Macao Special Administrative Region","2021","US$","43554.859734225865"
"Colombia","2019","US$","6438.0601829042935"
"Colombia","2020","US$","5307.215227989132"
"Colombia","2021","US$","6104.1367093038925"
