	Treated	Synthetic	EU+ Mean	
cases_lagged	 .00154243	  .0015371	 .00085126	
tot_vacc_rate	 2.0979857	 2.1249773	 1.8280355	
pop_sexratio	    97.402	 96.744201	  96.62811	
govstringency	 59.933129	 59.273349	 37.790403	
pop_density	 239.18359	 198.85296	 178.27131	
lgdp_cap	 10.841014	  10.71347	 10.518783	
age_0to19	    18.546	 18.811568	 20.580967	
age_20to39	    24.227	 24.090882	   25.1191	
age_40to59	 27.493999	 28.486951	   27.7887	
age_60to79	    22.243	 22.055628	   21.1989	
age_80to99	 7.4620003	  6.528426	    5.2931	
age_100plus	      .028	   .026604	 .01913333	
