	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00036598	 .00050653	 .00074212	
tot_vacc_rate	 2.3991658	 1.8768721	  1.842837	
pop_sexratio	  108.8991	 98.679688	 96.601424	
govstringency	 38.708684	 34.700523	 35.525954	
pop_density	 1692.9714	 85.465767	 176.17089	
lgdp_cap	 10.423518	 10.489044	 10.507671	
age_0to19	    17.221	 21.307011	 20.651138	
age_20to39	 32.296001	 26.588116	 25.149862	
age_40to59	    25.483	 27.532109	 27.798862	
age_60to79	    20.544	 19.769624	 21.162897	
age_80to99	 4.4269999	  4.881287	 5.2183104	
age_100plus	      .032	   .020738	 .01882759	
