	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00147608	 .00082514	
tot_vacc_rate	 2.0979857	 2.1379671	  1.818794	
pop_sexratio	    97.402	 97.633055	 96.616086	
govstringency	 59.933129	 55.640814	 36.920798	
pop_density	 239.18359	 184.54249	 180.68294	
lgdp_cap	 10.841014	 10.599059	 10.505852	
age_0to19	    18.546	 19.372022	    20.628	
age_20to39	    24.227	 23.460971	 25.104966	
age_40to59	 27.493999	  28.78634	 27.762483	
age_60to79	    22.243	 21.903119	 21.214276	
age_80to99	 7.4620003	   6.45136	 5.2710345	
age_100plus	      .028	    .02631	 .01913793	
