	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153484	 .00085704	
tot_vacc_rate	 2.0979857	 2.1301598	 1.8151193	
pop_sexratio	    97.402	 96.590105	 96.592149	
govstringency	 59.933129	 59.355625	 37.800585	
pop_density	 239.18359	 197.32515	 171.14399	
lgdp_cap	 10.841014	 10.701233	 10.507609	
age_0to19	    18.546	 18.773618	 20.526138	
age_20to39	    24.227	 23.932916	 25.119104	
age_40to59	 27.493999	 28.607206	 27.832483	
age_60to79	    22.243	 22.069844	 21.218345	
age_80to99	 7.4620003	  6.589214	 5.2848276	
age_100plus	      .028	   .027283	 .01903448	
