	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153599	 .00087213	
tot_vacc_rate	 2.0979857	  2.124414	 1.8736651	
pop_sexratio	    97.402	 96.726612	  96.71359	
govstringency	 59.933129	 59.253389	 37.854782	
pop_density	 239.18359	 195.31477	 182.26113	
lgdp_cap	 10.841014	 10.714597	 10.557024	
age_0to19	    18.546	 18.817352	 20.645965	
age_20to39	    24.227	 24.076778	 25.196828	
age_40to59	 27.493999	 28.481054	 27.739448	
age_60to79	    22.243	 22.067133	 21.101138	
age_80to99	 7.4620003	  6.531178	 5.2968276	
age_100plus	      .028	   .026553	 .01962069	
