	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153709	 .00086689	
tot_vacc_rate	 2.0979857	 2.1286281	 1.8486179	
pop_sexratio	    97.402	 96.669933	 96.685773	
govstringency	 59.933129	 59.465876	 38.089163	
pop_density	 239.18359	 183.88752	 181.93223	
lgdp_cap	 10.841014	 10.720213	 10.545638	
age_0to19	    18.546	 18.799247	 20.638172	
age_20to39	    24.227	 23.950286	 25.152035	
age_40to59	 27.493999	 28.605119	 27.804379	
age_60to79	    22.243	 22.126942	 21.111517	
age_80to99	 7.4620003	  6.591641	 5.2743793	
age_100plus	      .028	   .026793	 .01941379	
