	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153746	 .00084306	
tot_vacc_rate	 2.0979857	 2.1282436	 1.8255745	
pop_sexratio	    97.402	 96.854736	 96.500452	
govstringency	 59.933129	 59.366029	 37.248627	
pop_density	 239.18359	 217.92303	 179.74817	
lgdp_cap	 10.841014	 10.707533	 10.523492	
age_0to19	    18.546	 18.770946	 20.567759	
age_20to39	    24.227	 24.168993	 24.926207	
age_40to59	 27.493999	 28.512297	 27.784103	
age_60to79	    22.243	  22.00698	 21.346517	
age_80to99	 7.4620003	  6.514092	 5.3558966	
age_100plus	      .028	   .026803	 .01944828	
