	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	  .0015348	 .00085758	
tot_vacc_rate	 2.0979857	 2.1263833	 1.8340668	
pop_sexratio	    97.402	  96.57991	 96.612249	
govstringency	 59.933129	 59.332416	 37.845266	
pop_density	 239.18359	 185.11705	 179.73145	
lgdp_cap	 10.841014	 10.709502	 10.529897	
age_0to19	    18.546	 18.796034	 20.572655	
age_20to39	    24.227	 23.936837	 25.184517	
age_40to59	 27.493999	 28.559854	 27.726069	
age_60to79	    22.243	 22.100754	 21.170345	
age_80to99	 7.4620003	  6.579726	 5.3268621	
age_100plus	      .028	   .026829	 .01948276	
