	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153388	 .00083257	
tot_vacc_rate	 2.0979857	 2.1269605	  1.813645	
pop_sexratio	    97.402	 96.623992	 96.545959	
govstringency	 59.933129	 59.296098	 38.260901	
pop_density	 239.18359	 191.46997	 179.63404	
lgdp_cap	 10.841014	 10.708478	 10.497782	
age_0to19	    18.546	 18.797636	 20.534793	
age_20to39	    24.227	 23.973877	 25.106483	
age_40to59	 27.493999	  28.54772	 27.846759	
age_60to79	    22.243	 22.085017	 21.191276	
age_80to99	 7.4620003	   6.56891	 5.3015517	
age_100plus	      .028	   .026891	 .01903448	
