	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153919	 .00084803	
tot_vacc_rate	 2.0979857	 2.1186691	 1.8409506	
pop_sexratio	    97.402	 96.785277	 96.843155	
govstringency	 59.933129	 58.954366	 37.683897	
pop_density	 239.18359	 205.86844	  183.3666	
lgdp_cap	 10.841014	 10.711504	 10.528409	
age_0to19	    18.546	 18.870213	 20.546897	
age_20to39	    24.227	 24.225616	 25.131724	
age_40to59	 27.493999	 28.324091	 27.828724	
age_60to79	    22.243	 21.996212	 21.208207	
age_80to99	 7.4620003	  6.457627	 5.2652069	
age_100plus	      .028	   .026311	  .0192069	
