	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00154761	 .00085915	
tot_vacc_rate	 2.0979857	 2.1358181	  1.817179	
pop_sexratio	    97.402	 96.992897	 96.591969	
govstringency	 59.933129	 59.067142	 37.504264	
pop_density	 239.18359	 252.85492	 183.78674	
lgdp_cap	 10.841014	 10.687713	  10.50594	
age_0to19	    18.546	 18.759247	 20.577724	
age_20to39	    24.227	 24.191805	 25.130724	
age_40to59	 27.493999	 28.724646	 27.889621	
age_60to79	    22.243	 21.766298	    21.112	
age_80to99	 7.4620003	  6.529986	 5.2707586	
age_100plus	      .028	   .028206	 .01910345	
