	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00151758	 .00083782	
tot_vacc_rate	 2.0979857	 2.1484074	 1.8166059	
pop_sexratio	    97.402	 95.976739	 96.735348	
govstringency	 59.933129	 59.707975	 37.849774	
pop_density	 239.18359	 152.96356	 180.37691	
lgdp_cap	 10.841014	 10.664249	 10.512632	
age_0to19	    18.546	 18.339806	  20.48869	
age_20to39	    24.227	 23.170716	 25.188345	
age_40to59	 27.493999	 29.232787	 27.856241	
age_60to79	    22.243	 22.345364	 21.187483	
age_80to99	 7.4620003	  6.883906	 5.2609655	
age_100plus	      .028	   .027362	 .01813793	
