	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153742	 .00083934	
tot_vacc_rate	 2.0979857	 2.1240197	 1.8219076	
pop_sexratio	    97.402	 96.768742	 96.655021	
govstringency	 59.933129	 59.293555	 37.202678	
pop_density	 239.18359	 198.00288	 181.68123	
lgdp_cap	 10.841014	 10.715901	 10.539029	
age_0to19	    18.546	 18.810538	 20.630621	
age_20to39	    24.227	 24.113575	 25.234414	
age_40to59	 27.493999	 28.472068	 27.722345	
age_60to79	    22.243	 22.057274	 21.152586	
age_80to99	 7.4620003	  6.520162	 5.2408966	
age_100plus	      .028	   .026433	      .019	
