	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	   .001536	 .00087056	
tot_vacc_rate	 2.0979857	 2.1236819	 1.8315192	
pop_sexratio	    97.402	 96.749646	 96.775759	
govstringency	 59.933129	 59.208899	 38.047075	
pop_density	 239.18359	 196.17371	 180.62206	
lgdp_cap	 10.841014	  10.71619	 10.542265	
age_0to19	    18.546	  18.82953	 20.610965	
age_20to39	    24.227	 24.102249	 25.105173	
age_40to59	 27.493999	 28.457772	 27.746379	
age_60to79	    22.243	 22.063227	  21.19769	
age_80to99	 7.4620003	  6.520776	 5.3202759	
age_100plus	      .028	   .026494	 .01937931	
