	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153649	 .00082609	
tot_vacc_rate	 2.0979857	 2.1178097	 1.8245511	
pop_sexratio	    97.402	 96.759415	  96.33409	
govstringency	 59.933129	 59.441272	 38.028805	
pop_density	 239.18359	 195.63165	 184.29033	
lgdp_cap	 10.841014	 10.716628	 10.497231	
age_0to19	    18.546	 18.695575	 20.443517	
age_20to39	    24.227	 24.125812	 24.970035	
age_40to59	 27.493999	 28.511574	 27.884103	
age_60to79	    22.243	 22.032011	 21.328207	
age_80to99	 7.4620003	  6.509361	 5.3546897	
age_100plus	      .028	   .025691	 .01934483	
