	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153695	 .00086578	
tot_vacc_rate	 2.0979857	 2.1305034	 1.8152524	
pop_sexratio	    97.402	 97.033493	   96.5719	
govstringency	 59.933129	 59.430419	 37.967363	
pop_density	 239.18359	 210.22323	 181.88506	
lgdp_cap	 10.841014	 10.733392	 10.484122	
age_0to19	    18.546	 18.823456	 20.388034	
age_20to39	    24.227	 24.207182	 25.108724	
age_40to59	 27.493999	 28.538143	 27.783586	
age_60to79	    22.243	 22.079404	 21.343414	
age_80to99	 7.4620003	  6.525282	 5.3570345	
age_100plus	      .028	   .026613	 .01910345	
