	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00154893	 .00084922	
tot_vacc_rate	 2.0979857	 2.0357784	 1.8098104	
pop_sexratio	    97.402	 97.448341	 96.678245	
govstringency	 59.933129	 59.292727	 37.279115	
pop_density	 239.18359	 220.65487	  177.5404	
lgdp_cap	 10.841014	 10.586386	 10.520137	
age_0to19	    18.546	 19.605026	 20.695586	
age_20to39	    24.227	 24.770377	 25.249414	
age_40to59	 27.493999	 27.889924	 27.699345	
age_60to79	    22.243	 21.658087	 21.127414	
age_80to99	 7.4620003	 6.0528299	 5.2095173	
age_100plus	      .028	   .024201	 .01862069	
