	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153325	 .00083664	
tot_vacc_rate	 2.0979857	 2.1226512	 1.8358997	
pop_sexratio	    97.402	 96.619222	 96.976873	
govstringency	 59.933129	 59.233576	 38.041369	
pop_density	 239.18359	 193.87745	 183.39307	
lgdp_cap	 10.841014	 10.703324	 10.537881	
age_0to19	    18.546	 18.786171	 20.580586	
age_20to39	    24.227	 24.036751	 25.180448	
age_40to59	 27.493999	 28.466502	 27.817069	
age_60to79	    22.243	 22.052592	 21.150241	
age_80to99	 7.4620003	  6.531519	 5.2524483	
age_100plus	      .028	   .026508	 .01910345	
