	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153548	 .00083788	
tot_vacc_rate	 2.0979857	 2.1232717	 1.8294824	
pop_sexratio	    97.402	 96.633941	 96.568021	
govstringency	 59.933129	 59.111687	 37.959794	
pop_density	 239.18359	  200.6603	 175.94295	
lgdp_cap	 10.841014	 10.701154	 10.466355	
age_0to19	    18.546	 18.814763	 20.620793	
age_20to39	    24.227	 24.062371	 25.152862	
age_40to59	 27.493999	  28.44922	 27.718655	
age_60to79	    22.243	 22.025722	 21.163241	
age_80to99	 7.4620003	  6.521215	 5.3248966	
age_100plus	      .028	   .026782	 .01951724	
