	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153697	 .00084883	
tot_vacc_rate	 2.0979857	 2.1249219	 1.8359145	
pop_sexratio	    97.402	 96.773453	 96.906073	
govstringency	 59.933129	 59.258243	 37.749794	
pop_density	 239.18359	 201.74884	 182.90426	
lgdp_cap	 10.841014	 10.713772	 10.533938	
age_0to19	    18.546	 18.813456	 20.605103	
age_20to39	    24.227	 24.116983	 25.148966	
age_40to59	 27.493999	 28.475326	 27.802483	
age_60to79	    22.243	 22.047653	 21.161379	
age_80to99	 7.4620003	  6.520062	 5.2627931	
age_100plus	      .028	   .026585	 .01910345	
