	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00154226	 .00086829	
tot_vacc_rate	 2.0979857	 2.1089831	 1.8059219	
pop_sexratio	    97.402	 96.320767	 96.204973	
govstringency	 59.933129	 58.817452	 37.771779	
pop_density	 239.18359	 210.07998	 126.04027	
lgdp_cap	 10.841014	 10.705151	 10.522068	
age_0to19	    18.546	 18.808658	 20.696828	
age_20to39	    24.227	 23.456547	 24.871621	
age_40to59	 27.493999	 28.823813	 27.868207	
age_60to79	    22.243	 22.270075	 21.221483	
age_80to99	 7.4620003	  6.614436	 5.3229655	
age_100plus	      .028	   .026466	 .01868966	
