	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00154818	 .00086567	
tot_vacc_rate	 2.0979857	 2.1272453	 1.7782002	
pop_sexratio	    97.402	 96.414975	 96.103897	
govstringency	 59.933129	  58.95301	 38.898463	
pop_density	 239.18359	 253.54537	 197.97317	
lgdp_cap	 10.841014	 10.644562	 10.428121	
age_0to19	    18.546	 18.793307	 20.340269	
age_20to39	    24.227	 23.978926	 25.028654	
age_40to59	 27.493999	 28.687113	 28.119808	
age_60to79	    22.243	 21.829858	 21.187615	
age_80to99	 7.4620003	  6.581817	 5.3051154	
age_100plus	      .028	   .029254	 .01861538	
