	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00144629	 .00081408	
tot_vacc_rate	 2.0979857	 2.1529861	 1.7915396	
pop_sexratio	    97.402	 96.973827	 96.605139	
govstringency	 59.933129	 55.772611	  37.62377	
pop_density	 239.18359	 138.43339	 165.70207	
lgdp_cap	 10.841014	 10.538709	   10.4807	
age_0to19	    18.546	 19.126373	 20.377217	
age_20to39	    24.227	 23.147636	 25.129957	
age_40to59	 27.493999	 29.089623	 27.977217	
age_60to79	    22.243	 21.999531	 21.161087	
age_80to99	 7.4620003	  6.709077	 5.3358261	
age_100plus	      .028	   .027873	 .01856522	
