	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153781	 .00084507	
tot_vacc_rate	 2.0979857	 2.1213836	 1.8237934	
pop_sexratio	    97.402	 96.625901	 96.552642	
govstringency	 59.933129	 59.200453	 37.610014	
pop_density	 239.18359	 178.09937	 166.43114	
lgdp_cap	 10.841014	 10.720072	 10.503362	
age_0to19	    18.546	 18.851604	 20.561793	
age_20to39	    24.227	 24.007675	 25.106931	
age_40to59	 27.493999	 28.463703	 27.835759	
age_60to79	    22.243	 22.106674	 21.169379	
age_80to99	 7.4620003	  6.543982	 5.3067586	
age_100plus	      .028	   .026364	 .01927586	
