	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153456	 .00085814	
tot_vacc_rate	 2.0979857	 2.1289483	 1.8178746	
pop_sexratio	    97.402	 96.688385	 96.447966	
govstringency	 59.933129	 59.400172	 38.035023	
pop_density	 239.18359	 202.05129	 183.80264	
lgdp_cap	 10.841014	  10.70505	 10.488427	
age_0to19	    18.546	  18.76312	 20.510965	
age_20to39	    24.227	 24.015989	 25.066931	
age_40to59	 27.493999	 28.572575	 27.831276	
age_60to79	    22.243	 22.058364	 21.250345	
age_80to99	 7.4620003	   6.56307	 5.3214138	
age_100plus	      .028	    .02696	      .019	
