	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153579	 .00087414	
tot_vacc_rate	 2.0979857	 2.1231728	  1.846167	
pop_sexratio	    97.402	 96.640564	 96.724121	
govstringency	 59.933129	 59.216836	 38.113326	
pop_density	 239.18359	 199.02466	 179.92999	
lgdp_cap	 10.841014	  10.70197	 10.544142	
age_0to19	    18.546	 18.791515	 20.593103	
age_20to39	    24.227	  24.06024	 25.031966	
age_40to59	 27.493999	 28.464888	 27.810621	
age_60to79	    22.243	 22.032239	 21.211207	
age_80to99	 7.4620003	  6.524553	 5.3335862	
age_100plus	      .028	   .026627	 .01937931	
