	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153749	 .00083518	
tot_vacc_rate	 2.0979857	 2.1284767	  1.807924	
pop_sexratio	    97.402	 96.717085	 96.879587	
govstringency	 59.933129	 59.390965	 38.015981	
pop_density	 239.18359	 204.86378	 180.56832	
lgdp_cap	 10.841014	 10.705986	  10.53279	
age_0to19	    18.546	  18.77151	 20.658552	
age_20to39	    24.227	 24.048797	 25.212138	
age_40to59	 27.493999	 28.558256	 27.728448	
age_60to79	    22.243	 22.043162	 21.136448	
age_80to99	 7.4620003	  6.551422	 5.2453104	
age_100plus	      .028	   .026939	 .01896552	
