	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	  .0015369	 .00087167	
tot_vacc_rate	 2.0979857	  2.126849	 1.8509689	
pop_sexratio	    97.402	 96.672487	 96.729373	
govstringency	 59.933129	 59.353192	 37.767382	
pop_density	 239.18359	 196.02162	 181.47216	
lgdp_cap	 10.841014	 10.709122	 10.550622	
age_0to19	    18.546	 18.788492	 20.551207	
age_20to39	    24.227	 24.017264	 25.126345	
age_40to59	 27.493999	  28.54401	 27.741069	
age_60to79	    22.243	 22.066828	 21.237379	
age_80to99	 7.4620003	  6.556656	 5.3242759	
age_100plus	      .028	    .02681	 .01965517	
