	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153536	 .00085321	
tot_vacc_rate	 2.0979857	 2.1278683	 1.8529552	
pop_sexratio	    97.402	 96.597757	 96.665224	
govstringency	 59.933129	 59.372119	 37.665339	
pop_density	 239.18359	 190.88219	 180.44981	
lgdp_cap	 10.841014	 10.706475	 10.537682	
age_0to19	    18.546	 18.780582	 20.570862	
age_20to39	    24.227	 23.945711	 25.039138	
age_40to59	 27.493999	 28.580207	 27.760621	
age_60to79	    22.243	  22.08551	  21.24969	
age_80to99	 7.4620003	   6.58108	 5.3600345	
age_100plus	      .028	   .026963	 .01951724	
