	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153384	 .00083929	
tot_vacc_rate	 2.0979857	 2.1242111	 1.8393715	
pop_sexratio	    97.402	 96.603364	   96.4746	
govstringency	 59.933129	 59.343443	 38.104369	
pop_density	 239.18359	 195.22772	 180.78874	
lgdp_cap	 10.841014	 10.700224	 10.527027	
age_0to19	    18.546	 18.756245	 20.610034	
age_20to39	    24.227	 24.010886	 25.180173	
age_40to59	 27.493999	 28.509678	 27.740138	
age_60to79	    22.243	 22.051205	 21.163207	
age_80to99	 7.4620003	  6.545443	 5.2872414	
age_100plus	      .028	   .026592	 .01924138	
