	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153578	 .00086636	
tot_vacc_rate	 2.0979857	 2.1243081	 1.8225015	
pop_sexratio	    97.402	 96.774667	 96.645576	
govstringency	 59.933129	 58.940186	 37.624182	
pop_density	 239.18359	 205.81454	 181.15406	
lgdp_cap	 10.841014	 10.713557	 10.525951	
age_0to19	    18.546	  18.88621	 20.632724	
age_20to39	    24.227	 24.143651	 25.207448	
age_40to59	 27.493999	  28.41072	 27.659414	
age_60to79	    22.243	 22.030525	 21.215345	
age_80to99	 7.4620003	  6.502076	 5.2662759	
age_100plus	      .028	   .026908	 .01868966	
