	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153536	 .00086811	
tot_vacc_rate	 2.0979857	 2.1256559	 1.8192542	
pop_sexratio	    97.402	 96.645222	 96.456562	
govstringency	 59.933129	 59.281032	 38.354857	
pop_density	 239.18359	 190.45537	 183.52556	
lgdp_cap	 10.841014	 10.711344	   10.5017	
age_0to19	    18.546	 18.808606	 20.484586	
age_20to39	    24.227	 24.000112	 25.091173	
age_40to59	 27.493999	 28.523737	    27.884	
age_60to79	    22.243	 22.083179	 21.231862	
age_80to99	 7.4620003	  6.557662	 5.2894483	
age_100plus	      .028	   .026748	 .01893103	
