	Treated	Synthetic	Donor Pool Mean	
cases_lagged	 .00154243	 .00153521	 .00084452	
tot_vacc_rate	 2.0979857	 2.1263326	 1.8294229	
pop_sexratio	    97.402	  96.65144	 96.558548	
govstringency	 59.933129	 59.310416	 38.084733	
pop_density	 239.18359	 192.49231	  176.8822	
lgdp_cap	 10.841014	 10.710053	  10.48681	
age_0to19	    18.546	 18.798316	 20.605207	
age_20to39	    24.227	 24.000742	  25.09831	
age_40to59	 27.493999	 28.535394	  27.75831	
age_60to79	    22.243	  22.07911	 21.232483	
age_80to99	 7.4620003	    6.5597	 5.2865173	
age_100plus	      .028	   .026788	 .01903448	
